lottery,draw_date,draw_id,draw_sequence,number,appeared,frequency_last_10,frequency_last_30,frequency_last_50,frequency_all_time,appearance_rate,days_since_last,day_of_week,is_weekend,month,week_of_year,mean_gap,std_gap,min_gap,max_gap,current_gap,temperature_score,is_hot,is_cold,trend
nlb_ada_sampatha,2025-12-23,627,187,9,0,2.0,10.0,16.0,62.0,0.3315508021390374,1,1,0,12,52,3.098360655737705,3.186574902247295,1.0,20.0,1,33.33333333333333,0,0,cooling_down
nlb_ada_sampatha,2025-10-26,569,137,8,1,3.0,8.0,14.0,47.0,0.3430656934306569,4,6,1,10,43,2.6739130434782608,2.3224270272252663,1.0,13.0,4,26.666666666666668,0,0,heating_up
nlb_ada_sampatha,2025-08-17,499,67,6,0,4.0,11.0,16.0,24.0,0.3582089552238806,1,6,1,8,33,2.8260869565217392,2.7449902813329734,1.0,13.0,1,36.66666666666666,0,0,heating_up
nlb_ada_sampatha,2025-09-29,542,110,3,0,6.0,16.0,20.0,39.0,0.3545454545454545,1,0,0,9,40,2.8157894736842106,2.4479342865910727,1.0,10.0,1,53.333333333333336,1,0,heating_up
nlb_ada_sampatha,2025-12-26,630,190,4,0,4.0,11.0,17.0,66.0,0.3473684210526316,4,4,0,12,52,2.892307692307692,2.5906522904359104,1.0,14.0,4,36.66666666666666,0,0,heating_up
nlb_ada_sampatha,2025-08-11,493,61,4,0,4.0,9.0,19.0,23.0,0.3770491803278688,3,0,0,8,33,2.363636363636364,1.9434143933119956,1.0,8.0,3,30.0,0,0,heating_up
nlb_ada_sampatha,2026-01-11,646,206,1,1,2.0,10.0,18.0,71.0,0.3446601941747573,4,6,1,1,2,2.9571428571428573,2.120887376855764,1.0,11.0,4,33.33333333333333,0,0,cooling_down
nlb_ada_sampatha,2025-11-01,575,143,6,0,3.0,7.0,16.0,46.0,0.3216783216783216,2,5,1,11,44,3.111111111111111,2.496417185774866,1.0,13.0,2,23.33333333333333,0,1,heating_up
nlb_ada_sampatha,2025-07-05,456,24,3,1,4.0,8.0,8.0,8.0,0.3333333333333333,1,5,1,7,27,3.0,2.6186146828319083,1.0,8.0,1,26.666666666666668,0,0,heating_up
nlb_ada_sampatha,2025-08-11,493,61,3,0,3.0,8.0,17.0,20.0,0.3278688524590163,1,0,0,8,33,3.0526315789473686,2.7042594902452906,1.0,8.0,1,26.666666666666668,0,1,heating_up
nlb_ada_sampatha,2025-11-21,595,163,9,0,4.0,10.0,13.0,54.0,0.3312883435582822,2,4,0,11,47,2.943396226415094,2.4449801815735945,1.0,13.0,2,33.33333333333333,0,0,heating_up
nlb_ada_sampatha,2025-07-07,458,26,9,0,2.0,5.0,5.0,5.0,0.1923076923076923,6,0,0,7,28,3.75,2.48746859276655,2.0,8.0,6,16.666666666666664,0,1,heating_up
nlb_ada_sampatha,2025-08-08,490,58,2,0,6.0,14.0,21.0,23.0,0.396551724137931,3,4,0,8,32,2.4545454545454546,1.671343300986385,1.0,7.0,3,46.66666666666666,1,0,heating_up
nlb_ada_sampatha,2025-06-26,447,15,3,1,2.0,4.0,4.0,4.0,0.2666666666666666,2,3,0,6,26,3.6666666666666665,3.091206165165235,1.0,8.0,2,13.333333333333334,0,0,heating_up
nlb_ada_sampatha,2025-10-01,544,112,1,0,5.0,12.0,19.0,41.0,0.3660714285714285,2,2,0,10,40,2.675,1.6939229616484923,1.0,7.0,2,40.0,1,0,heating_up
nlb_ada_sampatha,2025-08-03,485,53,6,0,3.0,8.0,18.0,19.0,0.3584905660377358,5,6,1,8,31,2.611111111111111,2.8701314117976646,1.0,13.0,5,26.666666666666668,0,1,heating_up
nlb_ada_sampatha,2025-09-10,523,91,3,0,6.0,10.0,15.0,30.0,0.3296703296703296,1,2,0,9,37,3.034482758620689,2.709914855777724,1.0,10.0,1,33.33333333333333,0,0,heating_up
nlb_ada_sampatha,2025-12-26,630,190,2,0,5.0,9.0,17.0,68.0,0.3578947368421052,1,4,0,12,52,2.925373134328358,2.517481760213881,1.0,16.0,1,30.0,0,1,heating_up
nlb_ada_sampatha,2025-07-09,460,28,6,0,4.0,13.0,13.0,13.0,0.4642857142857143,3,2,0,7,28,2.0,1.35400640077266,1.0,6.0,3,43.333333333333336,1,0,cooling_down
nlb_ada_sampatha,2025-10-15,558,126,1,0,4.0,12.0,17.0,45.0,0.3571428571428571,3,2,0,10,42,2.727272727272727,1.7236804750780492,1.0,7.0,3,40.0,1,0,stable
nlb_ada_sampatha,2025-07-04,455,23,1,0,1.0,6.0,6.0,6.0,0.2608695652173913,4,4,0,7,27,3.2,2.4,1.0,7.0,4,20.0,0,0,cooling_down
